title_key,n_openalex_work_ids,representative_title,work_ids,years,raw_reference_edges
tractable constraints in finite semilattices,2,Tractable constraints in finite semilattices,W1603787713; W2005978190,"1996, 1999",5
type based analysis of uncaught exceptions,2,Type-based analysis of uncaught exceptions,W2072162091; W2104656753,"1999, 2000",5
type driven defunctionalization,2,Type-driven defunctionalization,W2094174039; W4232206602,1997,5
type driven development with idris,2,Type-Driven Development with Idris,W3035097735; W3037986940,"2017, 2020",5
type safe eventful sessions in java,2,Type-Safe Eventful Sessions in Java,W1883854985; W4235655521,2010,5
type theory in color,2,Type-theory in color,W2013149027; W3211062941,2013,5
universes for generic programs and proofs in dependent type theory,2,Universes for generic programs and proofs in dependent type theory,W1751016442; W3043607029,2003,5
using dynamic analysis to generate disjunctive invariants,2,Using dynamic analysis to generate disjunctive invariants,W1978277032; W3098458918,"2014, 2015",5
using generational garbage collection to implement cache conscious data placement,2,Using generational garbage collection to implement cache-conscious data placement,W2117703621; W4232200131,1998,5
using threads in interactive systems,2,Using threads in interactive systems,W2129494270; W3005505974,1993,5
validating jit compilers via compilation space exploration,2,Validating JIT Compilers via Compilation Space Exploration,W4387302771; W4407583718,"2023, 2025",5
validation of memory accesses through symbolic analyses,2,Validation of memory accesses through symbolic analyses,W1985774614; W4237159548,2014,5
verification of parameterized concurrent programs by modular reasoning about data and control,2,Verification of parameterized concurrent programs by modular reasoning about data and control,W2096199323; W4243742593,2012,5
why don t software developers use static analysis tools to find bugs,2,Why don’t software developers use static analysis tools to find bugs,W2078393527; W4233410239,2013,5
a basis for a mathematical theory of computation,2,A Basis for a Mathematical Theory of Computation ),W2166089338; W3199565109,"1959, 1963",4
a bisimulation for type abstraction and recursion,2,A bisimulation for type abstraction and recursion,W2085080904; W2122220040,"2005, 2007",4
a bunch of sessions a propositions as sessions interpretation of bunched implications in channel based concurrency,2,A Bunch of Sessions: A Propositions-as-Sessions Interpretation of Bunched Implications in Channel-Based Concurrency,W4297812127; W4307731851,2022,4
a case for mlp aware cache replacement,2,A Case for MLP-Aware Cache Replacement,W2120692212; W3144376511,2006,4
a categorical approach to open and interconnected dynamical systems,2,A categorical approach to open and interconnected dynamical systems,W2208563212; W3101612166,2016,4
a collaborative dependence analysis framework,2,A collaborative dependence analysis framework,W2594337292; W2752111507,2017,4
a compositional theory of linearizability,2,A Compositional Theory of Linearizability,W4315606551; W4391282620,"2023, 2024",4
a denotational semantics of inheritance and its correctness,2,A denotational semantics of inheritance and its correctness,W1987454317; W3161942825,1989,4
a framework for reducing the cost of instrumented code,2,A framework for reducing the cost of instrumented code,W2077324087; W3028027981,2001,4
a fully concurrent garbage collector for functional programs on multicore processors,2,A fully concurrent garbage collector for functional programs on multicore processors,W2511610649; W3010224878,2016,4
a graph based approach to api usage adaptation,2,A graph-based approach to API usage adaptation,W1988281920; W4243227753,2010,4
a hat trick automatically verifying representation invariants using symbolic finite automata,2,A HAT Trick: Automatically Verifying Representation Invariants Using Symbolic Finite Automata,W4393924739; W4399851440,2024,4
a logic programming language with lambda abstraction function variables and simple unification,2,"A logic programming language with lambda-abstraction, function variables, and simple unification",W1542795482; W2075352622,"1991, 2006",4
a model learner pattern for bayesian reasoning,2,A model-learner pattern for bayesian reasoning,W2059802626; W4237267501,2013,4
a modular type checking algorithm for type theory with singleton types and proof irrelevance,2,A Modular Type-Checking Algorithm for Type Theory with Singleton Types and Proof Irrelevance,W1690628218; W2951383623,"2009, 2011",4
a new approach to program testing,2,A new approach to program testing,W2126094482; W2610511123,1975,4
a pivoting algorithm for convex hulls and vertex enumeration of arrangements and polyhedra,2,A pivoting algorithm for convex hulls and vertex enumeration of arrangements and polyhedra,W1983281982; W4234356172,"1991, 1992",4
a practical concurrent binary search tree,2,A practical concurrent binary search tree,W2119251905; W4236393595,2010,4
a practical wait free simulation for lock free data structures,2,A practical wait-free simulation for lock-free data structures,W2138654728; W3015963472,2014,4
a relational approach to interprocedural shape analysis,2,A Relational Approach to Interprocedural Shape Analysis,W1480370622; W2049524532,"2004, 2010",4
a safe approximate algorithm for interprocedural aliasing,2,A safe approximate algorithm for interprocedural aliasing,W2050320220; W3004911069,1992,4
a sound and optimal incremental build system with dynamic dependencies,2,A sound and optimal incremental build system with dynamic dependencies,W2093927510; W3095023974,2015,4
a survey on transfer learning,2,A Survey on Transfer Learning,W2165698076; W3096437212,"2009, 2020",4
a trace based java jit compiler retrofitted from a method based compiler,2,A Trace-based Java JIT Compiler Retrofitted from a Method-based Compiler,W2111947818; W4232181514,"2011, 2012",4
a traversal based algorithm for higher order model checking,2,A traversal-based algorithm for higher-order model checking,W2122698067; W4247446425,2012,4
abcd,2,ABCD,W2130711572; W4237333737,2000,4
abstracting abstract control,2,Abstracting abstract control,W2610242999; W2964225594,"2013, 2014",4
active code completion,2,Active code completion,W2119414210; W3151918736,2012,4
addressing covert termination and timing channels in concurrent information flow systems,2,Addressing covert termination and timing channels in concurrent information flow systems,W2099878912; W4237179759,2012,4
adjunction models for call by push value with stacks,2,Adjunction Models For Call-By-Push-Value With Stacks,W2097704879; W4413966238,"2003, 2005",4
algorithmic games for full ground references,2,Algorithmic games for full ground references,W2743782362; W63783938,"2012, 2017",4
alice or bob process polymorphism in choreographies,2,Alice or Bob?: Process Polymorphism in Choreographies,W4323717488; W4391137562,"2023, 2024",4
alter,2,ALTER,W2110645221; W4239409840,2011,4
an algorithm for the general petri net reachability problem,2,An algorithm for the general Petri net reachability problem,W2011495892; W2164003033,"1981, 1984",4
an analysis of persistent memory use with whisper,2,An Analysis of Persistent Memory Use with WHISPER,W2604204172; W4229841172,2017,4
an introduction to the analysis of algorithms,2,An Introduction to the Analysis of Algorithms,W1491961545; W1494942133,"1995, 2017",4
approximate counting in smt and value estimation for probabilistic programs,2,Approximate Counting in SMT and Value Estimation for Probabilistic Programs,W1528660673; W2607296636,"2015, 2017",4
automated verification of concurrent search structures,2,Automated Verification of Concurrent Search Structures,W3167709386; W4210990654,2021,4
automatic differentiation of algorithms,2,Automatic differentiation of algorithms,W1965573563; W302561940,"2000, 2002",4
automatic extraction of object oriented component interfaces,2,Automatic extraction of object-oriented component interfaces,W2121059325; W4231709874,2002,4
automatic generation of efficient accelerators for reconfigurable hardware,2,Automatic generation of efficient accelerators for reconfigurable hardware,W2515406844; W4245440340,2016,4
automatic generation of program specifications,2,Automatic generation of program specifications,W2116973066; W4250359162,2002,4
automatic parallelization via matrix multiplication,2,Automatic parallelization via matrix multiplication,W2090975578; W4233008115,2011,4
avoiding exponential explosion,2,Avoiding exponential explosion,W1992431017; W3046946143,2001,4
badger complexity analysis with fuzzing and symbolic execution,2,Badger: complexity analysis with fuzzing and symbolic execution,W2805375386; W2942157607,2018,4
basic category theory for computer scientists,2,Basic category theory for computer scientists,W1533008268; W4300454881,"1991, 1992",4
better extensibility through modular syntax,2,Better extensibility through modular syntax,W2098396599; W4237774781,2006,4
bounded linear logic revisited,2,"Bounded Linear Logic, Revisited",W1876875653; W2952320118,"2009, 2010",4
bugs4q a benchmark of real bugs for quantum programs,2,Bugs4Q: A Benchmark of Real Bugs for Quantum Programs,W3194833114; W4205868343,2021,4
cache behavior prediction by abstract interpretation,2,Cache behavior prediction by abstract interpretation,W1874478398; W2062066235,"1996, 1999",4
cache conscious structure layout,2,Cache-conscious structure layout,W2116730320; W4214611987,1999,4
can reactive synthesis and syntax guided synthesis be friends,2,Can reactive synthesis and syntax-guided synthesis be friends?,W3205817849; W4281723906,"2021, 2022",4
catching bugs in the web of program invariants,2,Catching bugs in the web of program invariants,W1967698620; W3088121894,1996,4
choreographies logically,2,"Choreographies, logically",W3187321874; W4232794147,"2014, 2017",4
coeffects for sharing and mutation,2,Coeffects for Sharing and Mutation,W4296154020; W4307731791,2022,4
combinators for bi directional tree transformations,2,Combinators for bi-directional tree transformations,W2125713144; W2997013378,2005,4
commcsl proving information flow security for concurrent programs using abstract commutativity,2,CommCSL: Proving Information Flow Security for Concurrent Programs using Abstract Commutativity,W4309299843; W4379537321,"2022, 2023",4
complete multiparty session type projection with automata,2,Complete Multiparty Session Type Projection with Automata,W4378718519; W4384471275,2023,4
complexity of bradley manna sipma lexicographic ranking functions,2,Complexity of Bradley-Manna-Sipma Lexicographic Ranking Functions,W2180082329; W2953000932,2015,4
compositional bisimulation metric reasoning with probabilistic process calculi,2,Compositional bisimulation metric reasoning with Probabilistic Process Calculi,W2536060102; W3121327281,2017,4
compositional semantics for probabilistic programs with exact conditioning,2,Compositional Semantics for Probabilistic Programs with Exact Conditioning,W3121809296; W3173838504,2021,4
containment of conjunctive queries on annotated relations,2,Containment of Conjunctive Queries on Annotated Relations,W2058560220; W2150616017,"2009, 2011",4
contract soundness for object oriented languages,2,Contract Soundness for object-oriented languages,W2133206580; W4235062881,2001,4
convolutional neural networks over tree structures for programming language processing,2,Convolutional Neural Networks over Tree Structures for Programming Language Processing,W2282866165; W2963371736,"2014, 2016",4
covariance and controvariance a fresh look at an old issue a primer in advanced type systems for learning functional programmers,2,Covariance and Controvariance: a fresh look at an old issue (a primer in advanced type systems for learning functional programmers),W2889794696; W3097352678,"2020, 2022",4
dag inlining a decision procedure for reachability modulo theories in hierarchical programs,2,DAG inlining: a decision procedure for reachability-modulo-theories in hierarchical programs,W2103279048; W3017092265,2015,4
decalf a directed effectful cost aware logical framework,2,"Decalf: A Directed, Effectful Cost-Aware Logical Framework",W4384264699; W4390604919,"2023, 2024",4
detecting conflicts between structure accesses,2,Detecting conflicts between structure accesses,W1970061809; W4230766819,1988,4
developing verified programs with dafny,2,Developing verified programs with dafny,W2027294620; W4253467440,2013,4
dire a neural approach to decompiled identifier naming,2,DIRE: A Neural Approach to Decompiled Identifier Naming,W2973871154; W3000168638,2019,4
discussion tracking in enron email using parafac,2,Discussion Tracking in Enron Email using PARAFAC.,W4298328081; W67471658,"2007, 2016",4
disproving termination with overapproximation,2,Disproving termination with overapproximation,W2036804865; W4234413063,2014,4
distributed memory code generation for mixed irregular regular computations,2,Distributed memory code generation for mixed Irregular/Regular computations,W1977461164; W4254728533,2015,4
ditto,2,DITTO,W2139865986; W4247199554,2007,4
doubleplay,2,DoublePlay,W2115855199; W4249972030,2011,4
efficient and exact data dependence analysis,2,Efficient and exact data dependence analysis,W2079235644; W4234350265,1991,4
efficient data race detection for async finish parallelism,2,Efficient Data Race Detection for Async-Finish Parallelism,W1577551647; W2101414345,"2010, 2012",4
efficient monitoring of parametric context free patterns,2,Efficient monitoring of parametric context-free patterns,W2111894887; W3148712241,"2008, 2010",4
efficient path profiling,2,Efficient Path Profiling,W2101134669; W4238089251,"1996, 2002",4
eliminating timing side channel leaks using program repair,2,Eliminating Timing Side-Channel Leaks using Program Repair,W2806582033; W2963047853,2018,4
equation of state calculations by fast computing machines,2,Equation of State Calculations by Fast Computing Machines,W2056760934; W4247880210,1953,4
equivalence and similarity refutation for probabilistic programs,2,Equivalence and Similarity Refutation for Probabilistic Programs,W4394007490; W4399850968,2024,4
event driven network programming,2,Event-driven network programming,W2253297209; W4250487560,2016,4
explicitly heterogeneous metaprogramming with metahaskell,2,Explicitly heterogeneous metaprogramming with MetaHaskell,W2131012971; W3091380453,2012,4
extending sledgehammer with smt solvers,2,Extending Sledgehammer with SMT Solvers,W1674186056; W2022589543,"2011, 2013",4
faster linearizability checking via p compositionality,2,Faster Linearizability Checking via P-Compositionality,W1898066328; W2951282943,2015,4
first class state change in plaid,2,First-class state change in plaid,W2094694891; W3032926401,2011,4
first steps in synthetic tait computability the objective metatheory of cubical type theory,2,First Steps in Synthetic Tait Computability: The Objective Metatheory of Cubical Type Theory,W4291668274; W6959498146,"2021, 2022",4
flexible paxos quorum intersection revisited,2,Flexible Paxos: Quorum intersection revisited,W2516886136; W2962698771,"2016, 2017",4
formal analysis of message passing,2,Formal analysis of message passing,W1551839352; W3139468909,2011,4
fpga programming for the masses,2,FPGA programming for the masses,W2106962797; W3083504653,2013,4
from dirt to shovels,2,From dirt to shovels,W1982280055; W3087355157,2008,4
from network interface to multithreaded web applications,2,From Network Interface to Multithreaded Web Applications,W1981810578; W3043673239,"2014, 2015",4
function merging by sequence alignment,2,Function merging by sequence alignment,W2921888067; W4235002328,2019,4
functional differentiation of computer programs,2,Functional differentiation of computer programs,W2156468295; W2999031440,1998,4
fundamental approaches to software engineering,2,Fundamental Approaches to Software Engineering,W2592303583; W4365413535,"1999, 2016",4
gadts and exhaustiveness looking for the impossible,2,GADTs and Exhaustiveness: Looking for the Impossible,W2586154896; W2963372132,2017,4
game semantics,2,Game Semantics,W1870018393; W4244463218,"1997, 1999",4
game theoretical semantics insights and prospects,2,Game-Theoretical Semantics: Insights and Prospects,W1993752242; W4250353750,"1982, 1983",4
gamma system,2,Gamma system,W2171530146; W4234943353,2002,4
general bindings and alpha equivalence in nominal isabelle,2,General Bindings and Alpha-Equivalence in Nominal Isabelle,W1495561703; W2763665294,"2011, 2012",4
generating finite state transducers for semi structured data extraction from the web,2,Generating finite-state transducers for semi-structured data extraction from the Web,W2065568440; W3015882749,1998,4
generic programming with dependent types,2,Generic Programming with Dependent Types,W1614164110; W44613125,"2007, 2012",4
generic universe types,2,Generic Universe Types,W1502550949; W4250979901,2007,4
geometry of synthesis iii,2,Geometry of synthesis III,W2063460035; W4242556270,2011,4
global code motion global value numbering,2,Global code motion/global value numbering,W2017351599; W2996811965,1995,4
global common subexpression elimination,2,Global common subexpression elimination,W2150082535; W4252737723,1970,4
globally governed session semantics,2,Globally Governed Session Semantics,W1925097485; W2400032228,"2013, 2014",4
goslp globally optimized superword level parallelism framework,2,goSLP: globally optimized superword level parallelism framework,W2798960592; W3125750521,2018,4
gradual verification of recursive heap data structures,2,Gradual verification of recursive heap data structures,W3108916415; W6912348706,2020,4
graph logics with rational relations,2,Graph Logics with Rational Relations,W2169092431; W2613188923,"2013, 2017",4
griffin,2,GRIFFIN,W2584029330; W4230613728,2017,4
gunrock,2,Gunrock,W2951135776; W4240241667,2016,4
handbook of practical logic and automated reasoning,2,Handbook of Practical Logic and Automated Reasoning,W1521372188; W4301496058,"2009, 2010",4
hardware transactional memory meets memory persistency,2,Hardware Transactional Memory Meets Memory Persistency,W2885514411; W2928943454,"2018, 2019",4
haschor functional choreographic programming for all functional pearl,2,HasChor: Functional Choreographic Programming for All (Functional Pearl),W4323066591; W4384999944,2023,4
hasochism,2,Hasochism,W2028880435; W4242238973,2013,4
hawkeye,2,HAWKEYE,W2100763950; W2891235722,"2011, 2018",4
higher order demand driven program analysis,2,Higher-Order Demand-Driven Program Analysis,W2559098921; W2954535803,"2016, 2019",4
higher order linearisability,2,Higher-Order Linearisability,W2544417439; W3022736191,2017,4
homotopical patch theory,2,Homotopical patch theory,W2089243009; W2520449974,"2014, 2016",4
i ephemerons i,2,<i>Ephemerons</i>,W2087960970; W4238745398,1997,4
ieee standard for binary floating point arithmetic,2,IEEE Standard for Binary Floating-Point Arithmetic,W2204310803; W2979730858,1985,4
improvements for free,2,Improvements for Free,W2050400596; W3145350942,2011,4
improving bank level parallelism for irregular applications,2,Improving bank-level parallelism for irregular applications,W2567006428; W4244498474,2016,4
indexed codata types,2,Indexed codata types,W2518300910; W3009278385,2016,4
inferring method specifications from natural language api descriptions,2,Inferring method specifications from natural language API descriptions,W2124279581; W3149821397,2012,4
inferring type rules for syntactic sugar,2,Inferring type rules for syntactic sugar,W2798848760; W4244450464,2018,4
input sensitive profiling,2,Input-sensitive profiling,W2052172035; W3007376233,2012,4
instances of computational effects an algebraic perspective,2,Instances of Computational Effects: An Algebraic Perspective,W2016718260; W4235724312,2013,4
ireplayer in situ and identical record and replay for multithreaded applications,2,iReplayer: in-situ and identical record-and-replay for multithreaded applications,W2795667685; W4246729590,2018,4
jest n 1 version differential testing of both javascript engines and specification,2,JEST: N+1-Version Differential Testing of Both JavaScript Engines and Specification,W3131034920; W3163757474,2021,4
kendo,2,Kendo,W2122532513; W4233547058,2009,4
koala,2,Koala,W2107387337; W2119661598,"2007, 2009",4
language and compiler support for auto tuning variable accuracy algorithms,2,Language and compiler support for auto-tuning variable-accuracy algorithms,W2094190665; W4251875201,2011,4
large scale formal verification in practice a process perspective,2,Large-scale formal verification in practice: A process perspective,W2099161642; W3145226404,"2012, 2013",4
laws of order,2,Laws of order,W2163121173; W4244624509,2011,4
leap,2,LEAP,W2080869721; W4234356145,2010,4
learning a static analyzer from data,2,Learning a Static Analyzer from Data,W2552878490; W2949785274,"2016, 2017",4
learning concepts definable in first order logic with counting,2,Learning Concepts Definable in First-Order Logic with Counting,W2965343728; W3103193224,2019,4
lenses for web data,2,Lenses for Web Data,W1506770266; W6961057173,"2014, 2024",4
leveraging rust types for program synthesis,2,Leveraging Rust Types for Program Synthesis,W4362728620; W4379537202,2023,4
light linear logic,2,Light Linear Logic,W1969548989; W2177992386,"1995, 1998",4
light replay via tightly bounded recording,2,Light: replay via tightly bounded recording,W1964200705; W3011661468,2015,4
lime,2,Lime,W2054625910; W2102960656,"2010, 2011",4
logical reasoning for higher order functions with local state,2,Logical Reasoning for Higher-Order Functions with Local State,W1827297117; W2612400484,"2007, 2008",4
lost in the middle how language models use long contexts,2,Lost in the Middle: How Language Models Use Long Contexts,W4383605243; W4391876619,"2023, 2024",4
making prophecies with decision predicates,2,Making prophecies with decision predicates,W2099687675; W4254770492,2011,4
mechanism design via differential privacy,2,Mechanism Design via Differential Privacy,W2123820077; W4234281613,2007,4
memory model instruction reordering store atomicity,2,Memory Model = Instruction Reordering + Store Atomicity,W2116454140; W4213347330,2006,4
mining software repair models for reasoning on the search space of automated program fixing,2,Mining software repair models for reasoning on the search space of automated program fixing,W2168156367; W3123680370,2013,4
modal logic,2,Modal logic,W2610670723; W4211144022,2001,4
model checking and abstraction,2,Model checking and abstraction,W2080593426; W2114092850,"1992, 1994",4
model checking programs,2,Model Checking Programs,W2171480813; W4213079124,"2000, 2003",4
model driven autotuning of sparse matrix vector multiply on gpus,2,Model-driven autotuning of sparse matrix-vector multiply on GPUs,W2128539477; W4243261006,2010,4
monadic decomposition,2,Monadic Decomposition,W2623287016; W2913980179,"2014, 2017",4
monoidal indeterminates and categories of possible worlds,2,Monoidal indeterminates and categories of possible worlds,W1976985540; W2126973105,"2009, 2012",4
numagic,2,NumaGiC,W2167889790; W4245078074,2015,4
on protection by layout randomization,2,On Protection by Layout Randomization,W2014108710; W2090483038,"2010, 2012",4
on the logical complexity of cyclic arithmetic,2,On the logical complexity of cyclic arithmetic,W2884490461; W3003688551,2020,4
oo7 low overhead defense against spectre attacks via program analysis,2,oo7: Low-overhead Defense against Spectre Attacks via Program Analysis,W2884530475; W2985509521,"2018, 2019",4
operating system concepts,2,Operating System Concepts,W2751601659; W3152703111,"1983, 1991",4
operating system support for improving data locality on cc numa compute servers,2,Operating system support for improving data locality on CC-NUMA compute servers,W2140455011; W3025105914,1996,4
optimizing off chip accesses in multicores,2,Optimizing off-chip accesses in multicores,W2005881934; W3014226033,2015,4
packet types,2,Packet types,W2149827273; W4232537713,2000,4
pam,2,PAM,W2562123954; W4255356349,2018,4
parallelizing functional programs by generalization,2,Parallelizing functional programs by generalization,W1559921330; W2127814526,"1997, 1999",4
partial coherence abstractions for relaxed memory models,2,Partial-coherence abstractions for relaxed memory models,W1981959925; W4248790694,2011,4
performance debugging in the large via mining millions of stack traces,2,Performance debugging in the large via mining millions of stack traces,W2130655713; W3151686641,2012,4
phase aware optimization in approximate computing,2,Phase-aware optimization in approximate computing,W2591726959; W2749110104,2017,4
pointer and escape analysis for multithreaded programs,2,Pointer and escape analysis for multithreaded programs,W2127163775; W3005880032,2001,4
practical concurrent binary search trees via logical ordering,2,Practical concurrent binary search trees via logical ordering,W2096181137; W3088536720,2014,4
precise analysis of string expressions,2,Precise analysis of string expressions,W1809751277; W4232808412,2003,4
predicate calculus and program semantics,2,Predicate Calculus and Program Semantics,W1511110335; W2322933071,"1990, 1994",4
probability and random processes,2,Probability and Random Processes,W1976625337; W4388297583,"2001, 2004",4
productive use of failure in inductive proof,2,Productive use of failure in inductive proof,W2067540169; W4210917167,1996,4
profile guided static typing for dynamic scripting languages,2,Profile-guided static typing for dynamic scripting languages,W2122592814; W4249990212,2009,4
program analysis is harder than verification a computability perspective,2,Program Analysis Is Harder Than Verification: A Computability Perspective,W2883500998; W2886431776,2018,4
program development by stepwise refinement,2,Program development by stepwise refinement,W2987977008; W4300377269,"1971, 2002",4
quantum programming,2,Quantum Programming,W2914012520; W4238931494,2000,4
quantum walk algorithm for element distinctness,2,Quantum Walk Algorithm for Element Distinctness,W2058286540; W2165264713,"2004, 2007",4
quoted staged rewriting a practical approach to library defined optimizations,2,Quoted staged rewriting: a practical approach to library-defined optimizations,W2754883653; W4233720472,2017,4
r a language for data analysis and graphics,2,R: A Language for Data Analysis and Graphics,W1969761972; W4229880569,1996,4
random testing of c compilers based on test program generation by equivalence transformation,2,Random testing of C compilers based on test program generation by equivalence transformation,W2576158840; W2595037583,2016,4
ranking templates for linear loops,2,Ranking Templates for Linear Loops,W1525126490; W2230554596,"2014, 2015",4
reconciling abstraction with high performance a metaocaml approach,2,Reconciling Abstraction with High Performance: A MetaOCaml approach,W2805929662; W4301270244,2018,4
recursive markov decision processes and recursive stochastic games,2,Recursive Markov Decision Processes and Recursive Stochastic Games,W1482647296; W2220995138,"2005, 2015",4
relational inductive shape analysis,2,Relational inductive shape analysis,W2013050211; W3003422935,2008,4
replication and fault tolerance in the isis system,2,Replication and fault-tolerance in the ISIS system,W2116820549; W4231195072,1985,4
representing control in the presence of first class continuations,2,Representing control in the presence of first-class continuations,W2114922959; W4241716134,1990,4
reverse engineering of object oriented code,2,Reverse engineering of object oriented code,W2053426230; W4301151395,2005,4
reversible irreversible and optimal λ machines,2,"Reversible, Irreversible and Optimal λ-machines",W1511381872; W2027591072,"1996, 1999",4
rose compiler support for object oriented frameworks,2,Rose Compiler Support for Object-Oriented Frameworks,W2068810256; W4239437589,"2000, 2001",4
safe automated refactoring for intelligent parallelization of java 8 streams,2,Safe Automated Refactoring for Intelligent Parallelization of Java 8 Streams,W2951985317; W3023891024,"2019, 2020",4
safe couplings coupled refinement types,2,Safe Couplings: Coupled Refinement Types,W4283457769; W4293812913,2022,4
safecode,2,SAFECode,W1994759706; W4251201460,2006,4
scala with explicit nulls,2,Scala with Explicit Nulls,W2997570186; W6966995401,2020,4
scalable high performance main memory system using phase change memory technology,2,Scalable high performance main memory system using phase-change memory technology,W2048588974; W4234346842,2009,4
scrap more boilerplate,2,Scrap more boilerplate,W2046671194; W4250126356,2004,4
search based software test data generation a survey,2,Search‐based software test data generation: a survey,W2114869486; W3007533873,2004,4
secure virtual architecture,2,Secure virtual architecture,W2106412703; W3015906956,2007,4
selective specialization for object oriented languages,2,Selective specialization for object-oriented languages,W1971014792; W3005193075,1995,4
semantic analysis of normalisation by evaluation for typed lambda calculus,2,Semantic analysis of normalisation by evaluation for typed lambda calculus,W2056024754; W4309694915,"2002, 2022",4
semantic foundations for deterministic dataflow and stream processing,2,Semantic Foundations for Deterministic Dataflow and Stream Processing,W3017159537; W4229968863,"2020, 2021",4
semantics and algorithms for data dependent grammars,2,Semantics and algorithms for data-dependent grammars,W1964494435; W3006987039,2010,4
semantics of multimodal adjoint type theory,2,Semantics of multimodal adjoint type theory,W4323557380; W4388946565,2023,4
semiring frameworks and algorithms for shortest distance problems,2,Semiring Frameworks and Algorithms for Shortest-Distance Problems,W2125528794; W3081458930,2002,4
session typed concurrent contracts,2,Session-Typed Concurrent Contracts,W2797310167; W3208692159,"2018, 2021",4
shape analysis,2,Shape Analysis,W4205427467; W4252314084,"2000, 2020",4
smooth interpretation,2,Smooth interpretation,W2295283246; W4236495020,2010,4
snap,2,SNAP,W2256352919; W2982176300,"2016, 2019",4
solving non linear arithmetic,2,Solving Non-linear Arithmetic,W1493060511; W2011495999,"2012, 2013",4
sound non statistical clustering of static analysis alarms,2,Sound Non-statistical Clustering of Static Analysis Alarms,W2106108278; W2749587018,"2012, 2017",4
space efficient conservative garbage collection,2,Space efficient conservative garbage collection,W2094631165; W4241928781,"1993, 2004",4
speculative alias analysis for executable code,2,Speculative Alias Analysis for Executable Code,W2155957569; W4206300973,"2003, 2007",4
speculative lock elision enabling highly concurrent multithreaded execution,2,Speculative lock elision: enabling highly concurrent multithreaded execution,W2099661831; W4255353403,"2001, 2005",4
spore combining symmetry and partial order reduction,2,SPORE: Combining Symmetry and Partial Order Reduction,W4399850860; W6948803068,2024,4
ssd single shot multibox detector,2,SSD: Single Shot MultiBox Detector,W2193145675; W3106250896,2016,4
ssprove a foundational framework for modular cryptographic proofs in coq,2,SSProve: A Foundational Framework for Modular Cryptographic Proofs in Coq,W3159613676; W3187205106,"2021, 2023",4
static analysis of finite precision computations,2,Static analysis of finite precision computations,W1528042415; W3138624857,2011,4
static detection of asymptotic performance bugs in collection traversals,2,Static detection of asymptotic performance bugs in collection traversals,W2114054012; W3005620216,2015,4
stencil computation optimization and auto tuning on state of the art multicore architectures,2,Stencil computation optimization and auto-tuning on state-of-the-art multicore architectures,W2154786353; W3152199537,2008,4
steno,2,Steno,W1980590442; W4253004448,2011,4
structured neural summarization,2,Structured Neural Summarization,W2898734514; W2963015915,2018,4
suggesting valid hole fits for typed holes experience report,2,Suggesting valid hole fits for typed-holes (experience report),W2891612558; W4229736286,2018,4
synthesizing parallel graph programs via automated planning,2,Synthesizing parallel graph programs via automated planning,W1988144253; W3009426093,2015,4
synthesizing racy tests,2,Synthesizing racy tests,W2005335403; W4237706618,2015,4
systematic editing,2,Systematic editing,W2101723202; W4230190751,2011,4
t count optimization and reed muller codes,2,T-Count Optimization and Reed–Muller Codes,W2308615846; W3098637671,"2016, 2019",4
tackling the qubit mapping problem for nisq era quantum devices,2,Tackling the Qubit Mapping Problem for NISQ-Era Quantum Devices,W2889938786; W2951000429,"2018, 2019",4
temporal logic can be more expressive,2,Temporal logic can be more expressive,W2075920544; W2806619258,"1981, 1983",4
the call by need lambda calculus revisited,2,"The Call-by-Need Lambda Calculus, Revisited",W1934781858; W2949948326,2012,4
the development of chez scheme,2,The development of Chez Scheme,W2124509807; W4243123764,2006,4
the dynamic practice and static theory of gradual typing,2,The Dynamic Practice and Static Theory of Gradual Typing,W2964500203; W2965144419,2019,4
the hardness of data packing,2,The hardness of data packing,W2295173494; W4254405132,2016,4
the interaction of contracts and laziness,2,The interaction of contracts and laziness,W1996450703; W2085595534,2012,4
the javascript object notation json data interchange format,2,The JavaScript Object Notation (JSON) Data Interchange Format,W2239835736; W4300782170,"2014, 2017",4
the mathematics of sentence structure,2,The Mathematics of Sentence Structure,W2328580899; W4242125186,1958,4
the method of attributes for data flow analysis,2,The method of attributes for data flow analysis,W1607605746; W2885877860,1978,4
the optimal implementation of functional programming languages,2,The optimal implementation of functional programming languages,W1553954213; W2002663537,"1998, 2000",4
the prospects of quantum computing in computational molecular biology,2,The prospects of quantum computing in computational molecular biology,W3028293372; W3104097946,2020,4
the subtyping problem for second order types is undecidable,2,The subtyping problem for second-order types is undecidable,W2132037187; W3180721729,2002,4
the theory of hybrid automata,2,The theory of hybrid automata,W2147340401; W3189981105,"2000, 2002",4
the transmeta code morphing spl trade software using speculation recovery and adaptive retranslation to address real life challenges,2,"The Transmeta Code Morphing/spl trade/ Software: using speculation, recovery, and adaptive retranslation to address real-life challenges",W2148865465; W4241410512,2003,4
three years of experience with sledgehammer a practical link between automatic and interactive theorem provers,2,"Three Years of Experience with Sledgehammer, a Practical Link between Automatic and Interactive Theorem Provers",W2981616527; W836255558,2018,4
timed runtime monitoring for multiparty conversations,2,Timed runtime monitoring for multiparty conversations,W1989371806; W2762008287,"2014, 2017",4
toddler detecting performance problems via similar memory access patterns,2,Toddler: detecting performance problems via similar memory-access patterns,W2157662360; W4241134169,2013,4
