title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
a weakest pre expectation semantics for mixed sign expectations,3,A weakest pre-expectation semantics for mixed-sign expectations,W2605302905; W2949292350; W4292718140,2017,32
directed incremental symbolic execution,3,Directed Incremental Symbolic Execution,W2006860739; W2152565783; W4236799059,"2011, 2014",32
on the preciseness of subtyping in session types,3,On the Preciseness of Subtyping in Session Types,W2023127104; W2754865860; W2949178056,"2014, 2016, 2017",32
type and effect systems,3,Type and Effect Systems,W1558848517; W4238056673; W4248393243,1999,32
facade,3,FACADE,W2160768644; W2610299746; W4237645174,"2015, 2017",31
ccured,3,CCured,W2140611647; W4234020632; W4243885711,"2002, 2012",30
encore,3,Encore,W1982901858; W2042777048; W2130136915,"2011, 2014, 2015",30
vst a a foundationally sound annotation verifier,3,VST-A: A Foundationally Sound Annotation Verifier,W2972221491; W4390603519; W6967964281,"2019, 2023, 2024",30
games and strategies as event structures,3,Games and Strategies as Event Structures,W2537740402; W2571881501; W3104865824,"2016, 2017",28
improving neural network verification through spurious region guided refinement,3,Improving Neural Network Verification through Spurious Region Guided Refinement,W3092751871; W3147451797; W4298208958,"2020, 2021",28
precise widening operators for convex polyhedra,3,Precise Widening Operators for Convex Polyhedra,W3029115295; W4212935551; W4239558088,"2003, 2005",28
space profiling for parallel functional programs,3,Space profiling for parallel functional programs,W2149678462; W2167571567; W4231827376,"2008, 2010",28
from clarity to efficiency for distributed algorithms,3,From clarity to efficiency for distributed algorithms,W2096274181; W2617632007; W4248355514,"2012, 2017",27
s2e,3,S2E,W2137530017; W4244413641; W4244700344,2011,27
a data locality optimizing algorithm,3,A data locality optimizing algorithm,W2119609467; W4234392772; W4238109388,"1991, 2004",26
coredet,3,CoreDet,W2158794422; W4230574494; W4235385348,2010,25
on lexicographic proof rules for probabilistic termination,3,On Lexicographic Proof Rules for Probabilistic Termination,W3189389740; W3216994895; W4287028489,"2021, 2023",25
programming by demonstration for long horizon robot tasks,3,Programming-by-Demonstration for Long-Horizon Robot Tasks,W4375870244; W6894163877; W6948101663,"2023, 2024",25
a hardware design language for timing sensitive information flow security,3,A Hardware Design Language for Timing-Sensitive Information-Flow Security,W2116469687; W4238698725; W4247198503,2015,24
alloy a general purpose higher order relational constraint solver,3,Alloy*: A General-Purpose Higher-Order Relational Constraint Solver,W2139553864; W2582748022; W4245822332,"2015, 2017",24
data races vs data race bugs,3,Data races vs. data race bugs,W2162630235; W3010635687; W4246334639,2012,24
everything you always wanted to know about compiled and vectorized queries but were afraid to ask,3,Everything You Always Wanted to Know About Compiled and Vectorized Queries But Were Afraid to Ask,W2897173745; W3136655632; W4244768633,2018,24
linear capabilities for fully abstract compilation of separation logic verified code,3,Linear capabilities for fully abstract compilation of separation-logic-verified code,W2966793605; W3033665586; W3151508267,"2019, 2021",24
on the termination problem for probabilistic higher order recursive programs,3,On the Termination Problem for Probabilistic Higher-Order Recursive Programs,W2900311562; W2965667013; W4288079620,"2019, 2020",24
polymage,3,PolyMage,W2084917734; W4254778071; W4255653201,2015,24
program slicing,3,Program Slicing,W2293624369; W2913256667; W4241211222,"1981, 1984, 1996",24
respec,3,Respec,W2100889285; W3136721778; W4250276807,2010,24
semantics of transactional memory and automatic mutual exclusion,3,Semantics of transactional memory and automatic mutual exclusion,W2086512828; W2126484338; W3005952541,"2008, 2011",24
the octagon abstract domain,3,The octagon abstract domain,W2142481893; W2987077139; W3158747708,"2001, 2002, 2006",24
superoptimizer a look at the smallest program,3,Superoptimizer: a look at the smallest program,W2114012357; W3006102157; W4301666354,1987,23
a calculus for overloaded functions with subtyping,3,A Calculus for Overloaded Functions with Subtyping,W1994181029; W2161064529; W2998595502,"1992, 1995",21
categories for the working mathematician,3,Categories for the Working Mathematician,W2120713972; W2574983198; W4210839962,"1971, 1974, 1978",21
dynamic logic,3,Dynamic Logic,W4211125366; W4231430632; W4239007999,"2000, 2001",21
pads,3,PADS,W1990751139; W2113145044; W4246839229,"2005, 2006",21
separation and information hiding,3,Separation and information hiding,W2080769562; W2130111506; W4237593520,"2004, 2009",21
a knowledge compilation map,3,A Knowledge Compilation Map,W2105197197; W2999916861; W3099451540,2002,20
fast,3,Fast,W2000356331; W2103237321; W4243192843,"2014, 2015",20
understanding integer overflow in c c,3,Understanding Integer Overflow in C/C++,W2168096831; W2621026180; W3142903977,"2012, 2015",20
a combination framework for complexity,3,A combination framework for complexity,W148448369; W2247087096; W2952181553,"2013, 2016",18
an experimental analysis of self adjusting computation,3,An experimental analysis of self-adjusting computation,W2023614281; W2171901695; W4235858940,"2006, 2009",18
intensional polymorphism in type erasure semantics,3,Intensional polymorphism in type-erasure semantics,W1974398164; W2024398154; W3009279359,"1998, 2002",18
interprocedural constant propagation,3,Interprocedural constant propagation,W1977606188; W4235258810; W4242680074,"1986, 1993",18
monte carlo statistical methods,3,Monte Carlo Statistical Methods,W1985093013; W4292403327; W4292691288,"1999, 2000, 2004",18
regular expression types for xml,3,Regular expression types for XML,W2072137506; W2157821258; W3014278192,"2000, 2005",18
the elements of statistical learning,3,The Elements of Statistical Learning,W1480376833; W2787894218; W4298304654,"2001, 2009",18
trace theory,3,Trace theory,W2912084748; W2913202392; W4232306982,"1986, 1987",17
a kripke logical relation for effect based program transformations,3,A kripke logical relation for effect-based program transformations,W2036967823; W2461817804; W4244977193,"2011, 2016",16
an on the fly reference counting garbage collector for java,3,An on-the-fly reference counting garbage collector for Java,W2062730511; W2079043385; W2997887244,"2001, 2006",16
armor,3,ArMOR,W2086023529; W2138538875; W4234406920,"2011, 2015",16
communication and concurrency,3,Communication and Concurrency,W1503973138; W258022877; W88975855,"1989, 1990, 1991",16
nested session types,3,Nested Session Types,W3094570300; W3149247157; W4285489720,"2021, 2022",16
symbolic algorithms for language equivalence and kleene algebra with tests,3,Symbolic Algorithms for Language Equivalence and Kleene Algebra with Tests,W1975315464; W3015661654; W6922314710,"2014, 2015",16
call by name gradual type theory,3,Call-by-name Gradual Type Theory,W2787703111; W2963037676; W3095937340,"2018, 2020",14
classification and regression trees,3,Classification and Regression Trees.,W3085162807; W4237372041; W4297957988,"1986, 2009, 2017",14
languages and compilers for parallel computing,3,Languages and Compilers for Parallel Computing,W3009729791; W3146312719; W4300907407,"2015, 2019, 2022",14
capri,3,CApRI,W2152505265; W4234611484; W4283362440,"2014, 2022",13
control flow analysis,3,Control flow analysis,W2004944457; W2127637733; W4238983745,"1970, 1995",13
markov decision processes discrete stochastic dynamic programming,3,Markov Decision Processes: Discrete Stochastic Dynamic Programming.,W2119567691; W4233840023; W4298023569,1995,13
a method for obtaining digital signatures and public key cryptosystems,3,A method for obtaining digital signatures and public-key cryptosystems,W1996360405; W4232836212; W4248305857,"1978, 1983",12
a temporal logic approach to binding time analysis,3,A temporal-logic approach to binding-time analysis,W2134291411; W2354429974; W2601109700,"1995, 2002, 2017",12
certifying data in multiparty session types,3,Certifying data in multiparty session types,W2460202555; W3023979312; W4212940261,2016,12
checking type safety of foreign function calls,3,Checking type safety of foreign function calls,W1973020382; W2159388995; W4232645513,"2005, 2008",12
computational geometry,3,Computational Geometry,W2911302472; W4214494916; W4251391716,"1985, 1997, 2008",12
dynamic program slicing,3,Dynamic program slicing,W1984248430; W2110066339; W4231040899,"1988, 1990",12
dynamic software updating,3,Dynamic software updating,W2040015657; W2047401676; W4250201092,"2001, 2005",12
handbook of mathematical functions with formulas graphs and mathematical tables,3,"Handbook of Mathematical Functions with Formulas, Graphs and Mathematical Tables.",W2313299119; W2801179766; W4300223101,1965,12
model checking of correctness conditions for concurrent objects,3,Model-checking of correctness conditions for concurrent objects,W2149426263; W2672830324; W3216348976,"2000, 2002",12
the art of computer programming,3,The Art of Computer Programming,W2752061190; W2752853835; W2752908210,"1968, 1970",12
induction of decision trees,3,Induction of Decision Trees,W2149706766; W3139831614; W4236137412,"1986, 2003",11
a preliminary architecture for a basic data flow processor,3,A preliminary architecture for a basic data-flow processor,W2137380783; W4239997146; W4246838776,"1974, 1975, 1998",10
bayesian data analysis,3,Bayesian Data Analysis,W1999060469; W2045656233; W2501073849,"1995, 2009, 2010",10
bounded synthesis,3,Bounded synthesis,W2913192371; W4241616303; W4253380258,"2007, 2012",10
cost recurrences for dml programs,3,Cost recurrences for DML programs,W1980177715; W2998897849; W4237407359,2001,10
hamiltonian simulation using linear combinations of unitary operations,3,Hamiltonian simulation using linear combinations of unitary operations,W2600825956; W2963652075; W6910414955,2012,10
neural networks and deep learning,3,Neural Networks and Deep Learning,W2604990696; W2896556344; W3143855017,"2018, 2021, 2022",10
stochastic relaxation gibbs distributions and the bayesian restoration of images,3,"Stochastic relaxation, Gibbs distributions, and the Bayesian restoration of images",W161217653; W2020999234; W4241385190,"1984, 1987, 1988",10
type inference with subtypes,3,Type inference with subtypes,W1703087989; W2041659737; W4246881098,"1988, 1990",10
checking robustness between weak transactional consistency models,3,Checking Robustness Between Weak Transactional Consistency Models,W3122018842; W3139989314; W4287371501,2021,9
markov chains and stochastic stability,3,Markov Chains and Stochastic Stability,W1995713768; W267488415; W4302617909,"1993, 2007, 2009",9
network stack specialization for performance,3,Network stack specialization for performance,W2133987956; W2139367291; W4246595290,"2013, 2014",9
synthesizing transformations for locality enhancement of imperfectly nested loop nests,3,Synthesizing transformations for locality enhancement of imperfectly-nested loop nests,W2046351222; W2212640437; W4238611010,"2000, 2001, 2014",9
a complete co inductive syntactic theory of sequential control and state,3,"A Complete, Co-inductive Syntactic Theory of Sequential Control and State",W2099116867; W2100747331; W4230665378,"2007, 2009",8
exploratory data analysis,3,Exploratory Data Analysis,W2319794630; W2796353643; W3016054986,"1977, 1978, 1979",8
generation scavenging,3,Generation Scavenging,W2158364508; W4231060654; W4248121615,1984,8
introduction to modern cryptography,3,Introduction to Modern Cryptography,W1892798954; W4300349690; W4410352943,"2007, 2014, 2025",8
limitations of partial compaction,3,Limitations of partial compaction,W2035384491; W2591862005; W3183220139,"2013, 2017",8
monadic regions,3,Monadic regions,W2295162339; W2913305528; W4235392789,"2004, 2006",8
monte carlo sampling methods using markov chains and their applications,3,Monte Carlo sampling methods using Markov chains and their applications,W2138309709; W4246464108; W4388320658,"1970, 2001",8
rigorous benchmarking in reasonable time,3,Rigorous benchmarking in reasonable time,W2013901208; W3007762348; W4244520147,2013,8
frontiers of combining systems,3,Frontiers of Combining Systems,W2749429874; W2895500577; W4205914269,"1996, 2005, 2017",7
algebra and coalgebra in computer science,3,Algebra and Coalgebra in Computer Science,W196547133; W2484788748; W2806445177,"2009, 2011, 2013",6
automata and computability,3,Automata and Computability,W1563342424; W4246777216; W4299138792,"1977, 1997, 2019",6
automated verification of practical garbage collectors,3,Automated verification of practical garbage collectors,W2137484994; W2950302512; W3023729334,"2009, 2010",6
language oriented programming,3,Language-Oriented Programming,W277828896; W300550493; W4250612636,"2007, 2009, 2016",6
learning bayesian networks,3,Learning Bayesian Networks,W2080828514; W4248700314; W4300995828,"2005, 2007, 2017",6
meta programming through typeful code representation,3,Meta-programming through typeful code representation,W2120146214; W2137232178; W3163654609,"2003, 2005",6
decidability of second order theories and automata on infinite trees,3,Decidability of second-order theories and automata on infinite trees,W1965611063; W2162583406; W4240244556,"1968, 1969",5
dual context calculi for modal logic,3,Dual-Context Calculi for Modal Logic,W2578225362; W3099174632; W4409121885,"2017, 2020",5
hilbert s tenth problem,3,Hilbert's tenth problem,W2049207136; W2107308446; W649764538,"1975, 1995",5
pattern recognition and machine learning,3,Pattern Recognition and Machine Learning,W2009086942; W2037855648; W4411487126,"1963, 2007, 2025",5
